episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-7.23,0,3,74,0.985074875,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.9801495006250001,,0,wall_collision
5,-6.33,0,3,24,0.9752487531218751,,0,wall_collision
6,-7.280000000000001,0,3,149,0.9703725093562657,,0,wall_collision
7,-6.15,0,3,46,0.9655206468094844,,0,wall_collision
8,-7.21,0,3,152,0.960693043575437,,0,wall_collision
9,5.73,1,4,19,0.9558895783575597,,0,wall_collision
10,-6.26,0,3,27,0.9511101304657719,,0,wall_collision
11,-6.750000000000001,0,3,226,0.946354579813443,,0,wall_collision
12,-6.720000000000001,0,3,33,0.9416228069143757,,0,wall_collision
13,-6.08,0,3,29,0.9369146928798039,,0,wall_collision
14,-5.31,0,3,42,0.9322301194154049,,0,wall_collision
15,-6.820000000000002,0,3,83,0.9275689688183278,0.06616782067654034,75,wall_collision
16,5.150000000000004,1,4,57,0.9229311239742362,0.0152435877182717,57,wall_collision
17,-6.13,0,3,64,0.918316468354365,0.014390740175485917,64,wall_collision
18,-6.590000000000001,0,3,50,0.9137248860125932,0.01593698107957607,50,wall_collision
19,-6.16,0,3,17,0.9091562615825302,0.009646574701251024,17,wall_collision
20,-4.709999999999999,0,3,42,0.9046104802746175,0.008671249419594892,42,wall_collision
21,-4.749999999999999,0,3,46,0.9000874278732445,0.0044558471637846314,46,wall_collision
22,-5.51,0,3,62,0.8955869907338783,0.010165671075810678,62,wall_collision
23,-5.49,0,3,60,0.8911090557802088,0.005820231345812014,60,wall_collision
24,-6.029999999999999,0,3,74,0.8866535105013078,0.0061416020021047065,74,wall_collision
25,3.750000000000014,1,4,157,0.8822202429488013,0.01654709403656696,157,wall_collision
26,24.710000000000004,3,6,33,0.8778091417340573,0.03507656328535328,33,wall_collision
27,-5.409999999999998,0,3,132,0.8734200960253871,0.03615805756756648,132,wall_collision
28,-4.38,0,3,39,0.8690529955452602,0.00843838645139327,39,wall_collision
29,-4.739999999999999,0,3,55,0.8647077305675338,0.029644005167806013,55,wall_collision
30,-4.3100000000000005,0,3,22,0.8603841919146962,0.027199069843680427,22,wall_collision
31,3.81000000000002,1,4,111,0.8560822709551227,0.04208401496824179,111,wall_collision
32,-4.68,0,3,69,0.851801859600347,0.043868620065040886,69,wall_collision
33,4.35000000000003,1,4,177,0.8475428503023453,0.051096388028334765,177,wall_collision
34,16.35,2,5,38,0.8433051360508336,0.08209984886803125,38,self_collision
35,-5.06,0,3,67,0.8390886103705794,0.07065153791249465,67,wall_collision
36,-5.9799999999999995,0,3,59,0.8348931673187264,0.07863396022003144,59,wall_collision
37,-4.879999999999999,0,3,69,0.8307187014821328,0.06970211078304851,69,wall_collision
38,5.410000000000013,1,4,91,0.8265651079747222,0.06569738275688755,91,wall_collision
39,-5.249999999999999,0,3,136,0.8224322824348486,0.07624646498708684,136,wall_collision
40,5.459999999999999,1,4,96,0.8183201210226743,0.0664708325311949,96,wall_collision
41,-4.42,0,3,23,0.8142285204175609,0.05899409238127586,23,wall_collision
42,4.640000000000006,1,4,98,0.810157377815473,0.06299185363708862,98,wall_collision
43,16.95000000000001,2,5,118,0.8061065909263957,0.03328792658295104,118,wall_collision
