episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-7.23,0,3,74,0.985074875,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.9801495006250001,,0,wall_collision
5,-6.33,0,3,24,0.9752487531218751,,0,wall_collision
6,-7.280000000000001,0,3,149,0.9703725093562657,,0,wall_collision
7,-6.15,0,3,46,0.9655206468094844,,0,wall_collision
8,-7.21,0,3,152,0.960693043575437,,0,wall_collision
9,5.73,1,4,19,0.9558895783575597,,0,wall_collision
10,-6.26,0,3,27,0.9511101304657719,,0,wall_collision
11,-6.750000000000001,0,3,226,0.946354579813443,,0,wall_collision
12,-6.720000000000001,0,3,33,0.9416228069143757,,0,wall_collision
13,-6.08,0,3,29,0.9369146928798039,,0,wall_collision
14,-5.31,0,3,42,0.9322301194154049,,0,wall_collision
15,-6.820000000000002,0,3,83,0.9275689688183278,0.0552592027777185,75,wall_collision
16,5.150000000000004,1,4,57,0.9229311239742362,0.017350203469967504,57,wall_collision
17,-6.8100000000000005,0,3,52,0.918316468354365,0.01781946768236454,52,wall_collision
18,-5.37,0,3,68,0.9137248860125932,0.009808843326241271,68,wall_collision
19,3.1800000000000264,1,4,164,0.9091562615825302,0.021402977192249126,164,wall_collision
20,4.840000000000014,1,4,118,0.9046104802746175,0.024538111842880655,118,wall_collision
21,-5.38,0,3,79,0.9000874278732445,0.02102677960389388,79,wall_collision
22,-6.44,0,3,45,0.8955869907338783,0.02298583402686442,45,wall_collision
23,-6.540000000000001,0,3,35,0.8911090557802088,0.021513021408879597,35,wall_collision
24,-4.529999999999999,0,3,44,0.8866535105013078,0.014254764041900424,44,wall_collision
25,-5.06,0,3,27,0.8822202429488013,0.0010401922724364947,27,wall_collision
26,23.520000000000017,3,6,172,0.8778091417340573,0.02417824321166209,172,wall_collision
27,-5.26,0,3,27,0.8734200960253871,0.03942744888330775,27,wall_collision
28,15.710000000000008,2,5,142,0.8690529955452602,0.035143327622995775,142,self_collision
29,5.57,1,4,115,0.8647077305675338,0.04291172508028862,115,wall_collision
30,-4.39,0,3,30,0.8603841919146962,0.04554556110718598,30,wall_collision
31,5.430000000000003,1,4,29,0.8560822709551227,0.02948109391305981,29,wall_collision
32,-5.74,0,3,35,0.851801859600347,0.05168065973224917,35,wall_collision
33,4.800000000000017,1,4,142,0.8475428503023453,0.044399307118433616,142,wall_collision
34,4.460000000000008,1,4,36,0.8433051360508336,0.025241403497703787,36,wall_collision
35,7.140000000000004,1,4,88,0.8390886103705794,0.046054928133592264,88,wall_collision
36,13.57000000000004,2,5,336,0.8348931673187264,0.04353241145231766,336,self_collision
37,6.700000000000015,1,4,172,0.8307187014821328,0.0711485951598111,172,wall_collision
38,-3.96,0,3,37,0.8265651079747222,0.11728035711456795,37,wall_collision
39,6.230000000000002,1,4,29,0.8224322824348486,0.08135431222938772,29,wall_collision
40,5.440000000000003,1,4,38,0.8183201210226743,0.10143971043687902,38,wall_collision
41,-7.33,0,3,64,0.8142285204175609,0.10748136027541477,64,wall_collision
42,-5.0600000000000005,0,3,67,0.810157377815473,0.0979118057693452,67,wall_collision
43,-6.9399999999999995,0,3,215,0.8061065909263957,0.10191133578990175,215,wall_collision
