episode,score,reward,steps,snake_length,termination_reason,seed
1,39,412.6999999999954,520,42,self_collision,1000000
2,31,335.52999999999713,529,34,self_collision,1000001
3,17,172.81000000000017,247,20,self_collision,1000002
4,42,447.88999999999237,684,45,self_collision,1000003
5,15,155.77000000000046,249,18,self_collision,1000004
6,16,166.24000000000046,233,19,self_collision,1000005
7,21,223.87000000000063,345,24,self_collision,1000006
8,20,206.1200000000004,249,23,self_collision,1000007
9,37,393.74999999999534,583,40,self_collision,1000008
10,38,405.3099999999961,578,41,self_collision,1000009
11,8,75.24000000000015,85,11,self_collision,1000010
12,30,320.8899999999986,492,33,self_collision,1000011
13,28,298.73999999999916,435,31,self_collision,1000012
14,43,454.729999999994,601,46,self_collision,1000013
15,20,213.25000000000074,326,23,self_collision,1000014
16,32,333.6999999999979,373,35,self_collision,1000015
17,21,218.84000000000054,288,24,self_collision,1000016
18,39,414.04999999999774,525,42,self_collision,1000017
19,19,192.64000000000036,206,22,self_collision,1000018
20,41,440.4799999999945,674,44,self_collision,1000019
21,40,424.73999999999455,607,43,self_collision,1000020
22,26,275.4299999999996,384,29,self_collision,1000021
23,50,535.8599999999927,755,53,self_collision,1000022
24,17,172.54000000000033,204,20,self_collision,1000023
25,17,175.5200000000004,246,20,self_collision,1000024
26,21,216.13000000000014,329,24,self_collision,1000025
27,17,172.44000000000034,204,20,self_collision,1000026
28,31,332.1699999999963,605,34,self_collision,1000027
29,29,301.8799999999989,352,32,self_collision,1000028
30,25,263.20999999999975,395,28,self_collision,1000029
31,32,339.1699999999976,486,35,self_collision,1000030
32,13,133.44000000000037,190,16,self_collision,1000031
33,42,447.5699999999925,716,45,self_collision,1000032
34,47,499.7999999999922,708,50,self_collision,1000033
35,41,436.20999999999486,611,44,self_collision,1000034
36,50,539.689999999993,842,53,self_collision,1000035
37,16,166.4200000000005,235,19,self_collision,1000036
38,47,504.49999999999125,798,50,self_collision,1000037
39,15,150.5100000000003,175,18,self_collision,1000038
40,18,187.65000000000046,264,21,self_collision,1000039
41,36,382.7099999999964,576,39,self_collision,1000040
42,26,271.51999999999884,395,29,self_collision,1000041
43,7,70.19000000000028,139,10,self_collision,1000042
44,20,208.39000000000058,272,23,self_collision,1000043
45,37,390.8199999999958,576,40,self_collision,1000044
46,50,526.5699999999924,784,53,self_collision,1000045
47,17,174.0800000000004,210,20,self_collision,1000046
48,13,130.2200000000003,172,16,self_collision,1000047
49,29,310.90999999999923,449,32,self_collision,1000048
50,13,135.70000000000047,224,16,self_collision,1000049
51,33,348.1599999999972,508,36,self_collision,1000050
52,36,384.3299999999962,574,39,self_collision,1000051
53,21,216.64000000000044,268,24,self_collision,1000052
54,30,308.6999999999982,411,33,self_collision,1000053
55,18,190.24000000000058,295,21,self_collision,1000054
56,24,252.16000000000025,349,27,self_collision,1000055
57,43,452.2899999999936,685,46,self_collision,1000056
58,77,833.6600000000074,1552,80,self_collision,1000057
59,25,268.2799999999998,478,28,self_collision,1000058
60,35,373.52999999999656,513,38,self_collision,1000059
61,33,350.5799999999973,506,36,self_collision,1000060
62,22,230.57000000000045,336,25,self_collision,1000061
63,30,317.5399999999988,437,33,self_collision,1000062
64,50,538.6699999999937,744,53,self_collision,1000063
65,29,307.10999999999757,489,32,self_collision,1000064
66,35,375.3399999999971,542,38,self_collision,1000065
67,30,312.60999999999814,390,33,self_collision,1000066
68,56,592.9499999999953,802,59,self_collision,1000067
69,16,166.8800000000005,249,19,self_collision,1000068
70,27,289.3499999999995,423,30,self_collision,1000069
71,38,400.56999999999357,622,41,self_collision,1000070
72,31,332.46999999999844,485,34,self_collision,1000071
73,31,332.0599999999978,496,34,self_collision,1000072
74,25,265.24000000000024,382,28,self_collision,1000073
75,33,353.35999999999706,518,36,self_collision,1000074
76,21,217.40000000000052,262,24,self_collision,1000075
77,23,236.69000000000042,285,26,self_collision,1000076
78,34,356.15999999999576,559,37,self_collision,1000077
79,12,121.5100000000003,172,15,self_collision,1000078
80,63,673.6799999999987,1056,66,self_collision,1000079
81,75,804.3600000000071,1350,78,self_collision,1000080
82,45,494.26999999999,859,48,self_collision,1000081
83,59,630.959999999996,954,62,self_collision,1000082
84,49,533.8799999999915,902,52,self_collision,1000083
85,30,316.1499999999985,456,33,self_collision,1000084
86,44,469.209999999994,664,47,self_collision,1000085
87,39,416.3299999999957,567,42,self_collision,1000086
88,20,209.38000000000048,303,23,self_collision,1000087
89,36,373.72999999999814,424,39,self_collision,1000088
90,31,329.13999999999714,518,34,self_collision,1000089
91,43,461.37999999999363,696,46,self_collision,1000090
92,23,239.71000000000052,303,26,self_collision,1000091
93,13,134.6800000000005,206,16,self_collision,1000092
94,13,133.54000000000045,200,16,self_collision,1000093
95,32,336.01999999999936,401,35,self_collision,1000094
96,38,410.0799999999948,651,41,self_collision,1000095
97,31,326.8699999999976,475,34,self_collision,1000096
98,36,389.32999999999646,554,39,self_collision,1000097
99,26,273.52999999999963,404,29,self_collision,1000098
100,16,165.43000000000046,234,19,self_collision,1000099
