episode,score,reward,steps,snake_length,termination_reason,seed
1,30,312.5199999999989,389,33,self_collision,1000000
2,17,174.88000000000042,230,20,self_collision,1000001
3,12,118.38000000000025,135,15,self_collision,1000002
4,23,239.86000000000047,318,26,self_collision,1000003
5,24,252.76000000000062,349,27,self_collision,1000004
6,31,332.22999999999774,479,34,self_collision,1000005
7,20,212.10000000000062,311,23,self_collision,1000006
8,23,237.13000000000042,271,26,self_collision,1000007
9,27,283.31000000000006,357,30,self_collision,1000008
10,26,274.51,386,29,self_collision,1000009
11,35,366.219999999998,414,38,self_collision,1000010
12,28,298.5199999999996,437,31,self_collision,1000011
13,11,107.95000000000026,127,14,self_collision,1000012
14,44,466.89999999999367,635,47,self_collision,1000013
15,27,287.7399999999992,414,30,self_collision,1000014
16,24,245.6500000000004,260,27,self_collision,1000015
17,31,328.36999999999864,425,34,self_collision,1000016
18,8,81.16000000000031,153,11,self_collision,1000017
19,47,494.2299999999939,585,50,self_collision,1000018
20,26,277.3499999999995,412,29,self_collision,1000019
21,25,264.3,376,28,self_collision,1000020
22,23,243.22000000000068,352,26,self_collision,1000021
23,56,602.7199999999967,825,59,self_collision,1000022
24,19,196.28000000000046,252,22,self_collision,1000023
25,24,248.50000000000045,295,27,self_collision,1000024
26,46,492.0499999999897,802,49,self_collision,1000025
27,17,172.46000000000035,202,20,self_collision,1000026
28,40,430.90999999999417,680,43,self_collision,1000027
29,28,295.44999999999976,384,31,self_collision,1000028
30,25,262.43,373,28,self_collision,1000029
31,34,360.1999999999976,475,37,self_collision,1000030
32,15,153.45000000000024,221,18,self_collision,1000031
33,33,352.44999999999754,479,36,self_collision,1000032
34,26,273.3400000000003,363,29,self_collision,1000033
35,24,254.34000000000032,391,27,self_collision,1000034
36,21,220.23000000000053,309,24,self_collision,1000035
37,34,363.2299999999968,532,37,self_collision,1000036
38,20,208.9600000000005,285,23,self_collision,1000037
39,37,394.59999999999525,538,40,self_collision,1000038
40,19,199.60000000000056,280,22,self_collision,1000039
41,26,276.3800000000003,389,29,self_collision,1000040
42,44,466.36999999999364,608,47,self_collision,1000041
43,33,351.3699999999982,477,36,self_collision,1000042
44,26,271.73,344,29,self_collision,1000043
45,34,359.37999999999806,447,37,self_collision,1000044
46,19,193.9000000000003,250,22,self_collision,1000045
47,31,331.80999999999875,461,34,self_collision,1000046
48,26,273.01000000000005,336,29,self_collision,1000047
49,39,416.12999999999613,557,42,self_collision,1000048
50,18,188.07000000000053,262,21,self_collision,1000049
51,37,390.9299999999956,545,40,self_collision,1000050
52,28,300.3100000000002,428,31,self_collision,1000051
53,11,110.29000000000038,173,14,wall_collision,1000052
54,22,227.71000000000052,272,25,self_collision,1000053
55,18,190.78000000000063,301,21,self_collision,1000054
56,35,371.18999999999767,467,38,self_collision,1000055
57,20,203.18000000000032,243,23,self_collision,1000056
58,32,340.5699999999974,506,35,self_collision,1000057
59,11,112.09000000000034,173,14,self_collision,1000058
60,37,394.30999999999625,517,40,self_collision,1000059
61,28,293.21999999999963,347,31,self_collision,1000060
62,16,166.07000000000045,240,19,self_collision,1000061
63,44,471.4499999999916,770,47,self_collision,1000062
64,19,197.77000000000046,273,22,self_collision,1000063
65,11,110.47000000000035,155,14,self_collision,1000064
66,16,169.22000000000045,275,19,self_collision,1000065
67,36,377.9399999999947,543,39,self_collision,1000066
68,16,161.01000000000025,196,19,self_collision,1000067
69,12,119.15000000000026,148,15,self_collision,1000068
70,23,243.50000000000065,344,26,self_collision,1000069
71,34,358.1199999999969,483,37,self_collision,1000070
72,25,265.24000000000035,402,28,self_collision,1000071
73,16,168.68000000000058,259,19,self_collision,1000072
74,29,309.35999999999893,434,32,self_collision,1000073
75,34,364.25999999999704,529,37,self_collision,1000074
76,35,370.9199999999966,484,38,self_collision,1000075
77,35,371.20999999999555,505,38,self_collision,1000076
78,17,172.77000000000035,201,20,self_collision,1000077
79,15,151.0700000000003,179,18,self_collision,1000078
80,34,360.2199999999978,463,37,self_collision,1000079
81,22,230.5200000000006,311,25,self_collision,1000080
82,23,244.2600000000007,358,26,self_collision,1000081
83,27,281.97999999999956,330,30,self_collision,1000082
84,14,145.00000000000045,215,17,self_collision,1000083
85,27,285.73,385,30,self_collision,1000084
86,17,178.14000000000058,264,20,self_collision,1000085
87,38,403.99999999999613,529,41,self_collision,1000086
88,23,243.81000000000063,353,26,self_collision,1000087
89,13,126.67000000000021,117,16,self_collision,1000088
90,28,298.76999999999913,422,31,self_collision,1000089
91,21,220.82000000000062,300,24,self_collision,1000090
92,24,252.11000000000053,324,27,self_collision,1000091
93,13,133.96000000000046,198,16,self_collision,1000092
94,33,355.16999999999683,547,36,self_collision,1000093
95,21,218.6500000000005,287,24,self_collision,1000094
96,45,484.80999999999403,675,48,self_collision,1000095
97,25,261.1,336,28,self_collision,1000096
98,41,442.7899999999943,673,44,self_collision,1000097
99,36,386.2099999999951,606,39,self_collision,1000098
100,22,232.38000000000068,325,25,self_collision,1000099
