episode,score,reward,steps,snake_length,termination_reason,seed
1,45,474.0899999999952,537,48,self_collision,1000000
2,45,490.77999999999145,788,48,self_collision,1000001
3,17,173.8100000000004,207,20,self_collision,1000002
4,67,723.5399999999961,1064,70,self_collision,1000003
5,26,274.3499999999997,402,29,self_collision,1000004
6,40,429.75999999999544,625,43,self_collision,1000005
7,21,220.73000000000047,319,24,self_collision,1000006
8,34,362.95999999999566,519,37,self_collision,1000007
9,30,315.81999999999834,449,33,self_collision,1000008
10,16,163.54000000000042,203,19,self_collision,1000009
11,8,75.24000000000015,85,11,self_collision,1000010
12,30,319.3399999999989,477,33,self_collision,1000011
13,44,472.0399999999935,691,47,self_collision,1000012
14,28,292.64999999999895,374,31,self_collision,1000013
15,35,375.88999999999635,577,38,self_collision,1000014
16,29,304.18999999999767,391,32,self_collision,1000015
17,73,778.7600000000032,1198,76,self_collision,1000016
18,13,134.73000000000042,211,16,self_collision,1000017
19,21,214.81000000000031,261,24,self_collision,1000018
20,44,471.5499999999935,680,47,self_collision,1000019
21,30,316.1299999999986,448,33,self_collision,1000020
22,40,422.3599999999954,555,43,self_collision,1000021
23,43,461.8399999999926,680,46,self_collision,1000022
24,28,294.9099999999985,398,31,self_collision,1000023
25,17,175.46000000000043,242,20,self_collision,1000024
26,21,215.67000000000033,275,24,self_collision,1000025
27,13,126.35000000000014,119,16,self_collision,1000026
28,48,517.7599999999919,893,51,self_collision,1000027
29,35,371.6899999999968,487,38,self_collision,1000028
30,23,243.0800000000007,336,26,self_collision,1000029
31,29,306.33999999999884,406,32,self_collision,1000030
32,49,522.9699999999906,783,52,self_collision,1000031
33,42,444.76999999999407,626,45,self_collision,1000032
34,44,468.96999999999343,628,47,self_collision,1000033
35,33,350.52999999999827,471,36,self_collision,1000034
36,10,98.11000000000023,130,13,self_collision,1000035
37,10,102.99000000000042,182,13,self_collision,1000036
38,53,568.7799999999961,896,56,self_collision,1000037
39,15,150.77000000000032,169,18,self_collision,1000038
40,37,392.09999999999565,628,40,self_collision,1000039
41,56,601.3999999999965,1067,59,self_collision,1000040
42,30,315.3299999999978,438,33,self_collision,1000041
43,48,513.8399999999925,765,51,self_collision,1000042
44,20,206.2300000000005,248,23,self_collision,1000043
45,39,412.98999999999654,521,42,self_collision,1000044
46,33,345.82999999999697,451,36,self_collision,1000045
47,17,173.00000000000037,198,20,self_collision,1000046
48,41,433.96999999999474,575,44,self_collision,1000047
49,21,223.7300000000004,419,24,wall_collision,1000048
50,41,439.1099999999939,641,44,self_collision,1000049
51,36,382.74999999999613,522,39,self_collision,1000050
52,45,483.179999999992,788,48,self_collision,1000051
53,19,197.18000000000055,252,22,self_collision,1000052
54,22,226.64000000000044,269,25,self_collision,1000053
55,37,395.92999999999574,565,40,self_collision,1000054
56,42,447.45999999999407,617,45,self_collision,1000055
57,35,367.9899999999965,467,38,self_collision,1000056
58,52,555.9099999999931,1012,55,self_collision,1000057
59,11,112.9100000000004,191,14,self_collision,1000058
60,24,253.0100000000005,354,27,self_collision,1000059
61,16,164.17000000000044,220,19,self_collision,1000060
62,45,479.41999999999376,704,48,self_collision,1000061
63,27,284.07999999999987,380,30,self_collision,1000062
64,37,397.45999999999634,542,40,self_collision,1000063
65,40,430.3299999999928,718,43,self_collision,1000064
66,53,570.1199999999959,812,56,self_collision,1000065
67,30,313.5199999999984,379,33,self_collision,1000066
68,24,247.06000000000034,269,27,self_collision,1000067
69,31,327.84999999999894,417,34,self_collision,1000068
70,47,508.24999999999216,773,50,self_collision,1000069
71,21,214.35000000000036,237,24,self_collision,1000070
72,32,342.2799999999982,485,35,self_collision,1000071
73,23,240.44000000000037,350,26,self_collision,1000072
74,58,630.6899999999976,1200,61,self_collision,1000073
75,38,407.3499999999954,564,41,self_collision,1000074
76,40,428.2899999999929,662,43,self_collision,1000075
77,40,424.4499999999936,596,43,self_collision,1000076
78,31,327.3899999999982,443,34,self_collision,1000077
79,49,518.8999999999934,680,52,self_collision,1000078
80,30,321.18999999999875,462,33,self_collision,1000079
81,30,319.3399999999985,447,33,self_collision,1000080
82,34,368.99999999999665,575,37,self_collision,1000081
83,42,445.3199999999934,611,45,self_collision,1000082
84,64,696.1099999999985,1304,67,self_collision,1000083
85,27,286.08999999999963,409,30,self_collision,1000084
86,34,360.2899999999978,456,37,self_collision,1000085
87,22,231.6300000000005,350,25,self_collision,1000086
88,46,494.8499999999901,842,49,self_collision,1000087
89,43,453.1799999999944,596,46,self_collision,1000088
90,21,220.45000000000059,307,24,self_collision,1000089
91,46,493.5799999999929,749,49,self_collision,1000090
92,36,380.7799999999966,519,39,self_collision,1000091
93,30,319.6699999999975,484,33,self_collision,1000092
94,36,389.429999999995,644,39,self_collision,1000093
95,39,412.869999999996,533,42,self_collision,1000094
96,25,266.34000000000015,392,28,self_collision,1000095
97,9,87.5600000000002,114,12,self_collision,1000096
98,38,410.4499999999961,584,41,self_collision,1000097
99,59,637.3999999999977,920,62,self_collision,1000098
100,19,200.50000000000065,290,22,self_collision,1000099
