episode,score,reward,steps,snake_length,termination_reason,seed
1,0,-10.52,13,3,wall_collision,1000000
2,0,-400.0000000003242,40000,3,step_limit,1000001
3,0,-10.32,13,3,wall_collision,1000002
4,0,-10.72,13,3,wall_collision,1000003
5,0,-10.54,15,3,wall_collision,1000004
6,0,-10.52,13,3,wall_collision,1000005
7,1,0.07000000000000206,205,4,wall_collision,1000006
8,0,-9.32,13,3,wall_collision,1000007
9,0,-9.52,13,3,wall_collision,1000008
10,0,-10.52,13,3,wall_collision,1000009
11,0,-9.92,13,3,wall_collision,1000010
12,0,-10.18,19,3,wall_collision,1000011
13,2,10.200000000000006,63,5,self_collision,1000012
14,0,-10.52,13,3,wall_collision,1000013
15,0,-10.81,12,3,wall_collision,1000014
16,0,-9.92,13,3,wall_collision,1000015
17,0,-10.45,16,3,wall_collision,1000016
18,0,-10.36,17,3,wall_collision,1000017
19,0,-10.99,10,3,wall_collision,1000018
20,1,-1.120000000000001,274,4,wall_collision,1000019
21,0,-10.12,13,3,wall_collision,1000020
22,2,10.280000000000005,35,5,self_collision,1000021
23,1,-389.4900000003039,40000,4,step_limit,1000022
24,1,-0.24999999999999467,77,4,wall_collision,1000023
25,0,-400.0000000003242,40000,3,step_limit,1000024
26,2,10.010000000000012,72,5,self_collision,1000025
27,0,-400.0000000003242,40000,3,step_limit,1000026
28,0,-9.72,13,3,wall_collision,1000027
29,1,-388.890000000303,40000,4,step_limit,1000028
30,1,-0.00999999999999801,133,4,wall_collision,1000029
31,1,-0.3499999999999943,47,4,wall_collision,1000030
32,0,-400.0000000003242,40000,3,step_limit,1000031
33,0,-10.72,13,3,wall_collision,1000032
34,0,-10.92,13,3,wall_collision,1000033
35,0,-9.32,13,3,wall_collision,1000034
36,0,-9.52,13,3,wall_collision,1000035
37,0,-400.0000000003242,40000,3,step_limit,1000036
38,0,-10.45,16,3,wall_collision,1000037
39,0,-10.629999999999999,14,3,wall_collision,1000038
40,0,-10.99,10,3,wall_collision,1000039
41,0,-10.99,10,3,wall_collision,1000040
42,0,-400.0000000003242,40000,3,step_limit,1000041
43,0,-10.36,17,3,wall_collision,1000042
44,0,-11.120000000000001,13,3,wall_collision,1000043
45,1,-389.0900000003032,40000,4,step_limit,1000044
46,0,-400.0000000003242,40000,3,step_limit,1000045
47,0,-10.45,16,3,wall_collision,1000046
48,0,-400.0000000003242,40000,3,step_limit,1000047
49,0,-10.32,13,3,wall_collision,1000048
50,0,-400.0000000003242,40000,3,step_limit,1000049
51,0,-10.99,10,3,wall_collision,1000050
52,1,1.0399999999999991,18,4,wall_collision,1000051
53,0,-10.45,16,3,wall_collision,1000052
54,0,-10.9,11,3,wall_collision,1000053
55,1,-0.22999999999999687,35,4,wall_collision,1000054
56,0,-9.52,13,3,wall_collision,1000055
57,1,0.13000000000000256,19,4,wall_collision,1000056
58,0,-10.18,19,3,wall_collision,1000057
59,0,-400.0000000003242,40000,3,step_limit,1000058
60,0,-400.0000000003242,40000,3,step_limit,1000059
61,0,-10.92,13,3,wall_collision,1000060
62,0,-9.72,13,3,wall_collision,1000061
63,1,-389.29000000030356,40000,4,step_limit,1000062
64,2,9.80000000000003,163,5,self_collision,1000063
65,1,-0.4799999999999969,110,4,wall_collision,1000064
66,0,-10.18,19,3,wall_collision,1000065
67,0,-400.0000000003242,40000,3,step_limit,1000066
68,0,-10.81,12,3,wall_collision,1000067
69,0,-400.0000000003242,40000,3,step_limit,1000068
70,0,-400.0000000003242,40000,3,step_limit,1000069
71,0,-10.52,13,3,wall_collision,1000070
72,0,-400.0000000003242,40000,3,step_limit,1000071
73,0,-10.12,13,3,wall_collision,1000072
74,1,-0.949999999999994,107,4,wall_collision,1000073
75,0,-9.52,13,3,wall_collision,1000074
76,0,-9.32,13,3,wall_collision,1000075
77,0,-9.72,13,3,wall_collision,1000076
78,1,0.28000000000000114,74,4,wall_collision,1000077
79,1,-0.7200000000000006,214,4,wall_collision,1000078
80,0,-9.92,13,3,wall_collision,1000079
81,0,-10.92,13,3,wall_collision,1000080
82,0,-9.72,13,3,wall_collision,1000081
83,0,-10.9,11,3,wall_collision,1000082
84,0,-9.32,13,3,wall_collision,1000083
85,0,-10.99,10,3,wall_collision,1000084
86,1,-1.4299999999999873,95,4,wall_collision,1000085
87,1,0.2500000000000018,47,4,wall_collision,1000086
88,0,-9.72,13,3,wall_collision,1000087
89,0,-400.0000000003242,40000,3,step_limit,1000088
90,0,-10.54,15,3,wall_collision,1000089
91,0,-10.45,16,3,wall_collision,1000090
92,1,-0.7599999999999962,158,4,wall_collision,1000091
93,0,-10.12,13,3,wall_collision,1000092
94,0,-400.0000000003242,40000,3,step_limit,1000093
95,0,-400.0000000003242,40000,3,step_limit,1000094
96,1,-1.209999999999999,273,4,wall_collision,1000095
97,1,-0.3999999999999986,162,4,wall_collision,1000096
98,1,-0.7599999999999962,158,4,wall_collision,1000097
99,1,-0.24999999999999822,97,4,wall_collision,1000098
100,0,-10.12,13,3,wall_collision,1000099
