episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.999,,0,wall_collision
2,-6.640000000000001,0,3,65,0.998001,,0,wall_collision
3,4.340000000000002,1,4,108,0.997002999,,0,wall_collision
4,-6.51,0,3,42,0.996005996001,,0,wall_collision
5,-5.75,0,3,26,0.995009990004999,,0,wall_collision
6,-7.98,0,3,139,0.994014980014994,,0,wall_collision
7,-6.460000000000001,0,3,67,0.993020965034979,,0,wall_collision
8,-5.319999999999999,0,3,33,0.9920279440699441,,0,wall_collision
9,-6.200000000000001,0,3,101,0.9910359161258742,,0,wall_collision
10,-5.97,0,3,28,0.9900448802097482,,0,wall_collision
11,-7.720000000000001,0,3,93,0.9890548353295385,,0,wall_collision
12,-5.96,0,3,77,0.988065780494209,,0,wall_collision
13,-6.44,0,3,45,0.9870777147137147,,0,wall_collision
14,-6.22,0,3,23,0.986090636999001,,0,wall_collision
15,-7.180000000000001,0,3,39,0.9851045463620021,,0,wall_collision
16,-6.74,0,3,75,0.98411944181564,,0,wall_collision
17,-6.93,0,3,84,0.9831353223738244,0.06610810680937797,77,wall_collision
18,-5.02,0,3,23,0.9821521870514506,0.04974450510116699,23,wall_collision
19,-5.83,0,3,14,0.9811700348643991,0.02026738031833832,14,wall_collision
20,-6.7700000000000005,0,3,68,0.9801888648295347,0.020367823170518558,68,wall_collision
21,-6.870000000000001,0,3,18,0.9792086759647052,0.009998879844917812,18,wall_collision
22,-5.97,0,3,28,0.9782294672887405,0.006249389679786483,28,wall_collision
23,-5.42,0,3,23,0.9772512378214517,0.0059002820736445164,23,wall_collision
24,-6.41,0,3,52,0.9762739865836303,0.011288649601808105,52,wall_collision
25,-6.630000000000001,0,3,74,0.9752977125970467,0.0005472090174530545,74,wall_collision
26,2.9100000000000206,1,4,81,0.9743224148844496,0.006633350065115977,81,wall_collision
27,-4.239999999999999,0,3,65,0.9733480924695651,0.007424916098646533,65,wall_collision
28,5.779999999999999,1,4,24,0.9723747443770956,0.01040840235085246,24,wall_collision
29,-7.190000000000001,0,3,50,0.9714023696327185,0.025276892175606917,50,wall_collision
30,-7.1000000000000005,0,3,51,0.9704309672630859,0.014862564984736416,51,wall_collision
31,5.01000000000003,1,4,171,0.9694605362958227,0.021569992757959927,171,wall_collision
32,-6.720000000000001,0,3,113,0.9684910757595269,0.016308903468404978,113,wall_collision
33,-7.23,0,3,94,0.9675225846837673,0.019016086319405733,94,wall_collision
34,-6.760000000000001,0,3,77,0.9665550620990835,0.036232386620461264,77,wall_collision
35,-4.85,0,3,56,0.9655885070369844,0.031924785454715936,56,wall_collision
36,-6.16,0,3,57,0.9646229185299474,0.0328891200009374,57,wall_collision
37,-5.77,0,3,68,0.9636582956114175,0.034376231439904696,68,wall_collision
38,-6.62,0,3,123,0.9626946373158061,0.021094056771504048,123,wall_collision
39,-5.53,0,3,44,0.9617319426784903,0.03201226419134235,44,wall_collision
40,-5.699999999999999,0,3,51,0.9607702107358118,0.015155115245565242,51,wall_collision
41,-4.8,0,3,21,0.959809440525076,0.012320799486977714,21,wall_collision
42,-6.860000000000001,0,3,67,0.9588496310845509,0.018883684097959506,67,wall_collision
43,-7.510000000000002,0,3,202,0.9578907814534664,0.014871640447921945,202,wall_collision
44,-4.01,0,3,32,0.9569328906720129,0.01468413275142666,32,wall_collision
45,-6.26,0,3,27,0.9559759577813409,0.008917244612584236,27,wall_collision
46,-6.83,0,3,74,0.9550199818235596,0.013799067426589318,74,wall_collision
47,-4.859999999999999,0,3,47,0.9540649618417361,0.004925796202324489,47,wall_collision
48,-6.050000000000001,0,3,76,0.9531108968798944,0.04805642541874764,76,wall_collision
49,-5.909999999999999,0,3,82,0.9521577859830145,0.0637668078614785,82,wall_collision
50,-5.01,0,3,52,0.9512056281970315,0.056280028742129125,52,wall_collision
51,-6.3100000000000005,0,3,22,0.9502544225688344,0.096174193398011,22,wall_collision
52,-4.54,0,3,55,0.9493041681462656,0.0908766350158575,55,wall_collision
53,-5.2299999999999995,0,3,34,0.9483548639781193,0.07981027312138501,34,wall_collision
54,-5.949999999999999,0,3,26,0.9474065091141411,0.0787967847696004,26,wall_collision
55,-6.25,0,3,36,0.946459102605027,0.0891255466461492,36,wall_collision
56,-6.109999999999999,0,3,42,0.9455126435024219,0.07735595852690971,42,wall_collision
57,-4.63,0,3,34,0.9445671308589195,0.07312658606850378,34,wall_collision
58,-6.29,0,3,20,0.9436225637280606,0.11511727921897545,20,wall_collision
59,4.180000000000007,1,4,104,0.9426789411643326,0.07469282085702826,104,wall_collision
60,-5.51,0,3,42,0.9417362622231683,0.061661492994365595,42,wall_collision
61,-6.91,0,3,82,0.9407945259609451,0.07690994842574228,82,wall_collision
62,-4.749999999999999,0,3,66,0.9398537314349842,0.07943618761827097,66,wall_collision
63,3.1000000000000405,1,4,192,0.9389138777035492,0.08873702673190564,192,wall_collision
